Index,Estate,Division,EmpCode,Gender,DateofJoin,PAMACT,EmployeeAge
1,EST,HO,2727,F,1972-01-01,A,44.0
2,EST,HO,11211,M,1975-02-27,T,40.0
3,EST,HO,29593,F,1972-11-09,A,43.0
4,EST,HO,37774,F,1973-05-02,A,42.0
5,EST,HO,37875,F,1973-05-02,A,42.0
6,EST,HO,38178,F,1978-01-29,A,37.0
7,EST,HO,38784,M,1979-12-31,A,36.0
8,EST,HO,40602,F,1978-01-23,A,37.0
9,EST,HO,41107,F,1973-05-01,A,42.0
10,EST,HO,41309,F,1979-12-31,A,36.0
11,EST,HO,42622,M,1978-01-01,A,38.0
12,EST,HO,42925,M,1977-05-18,A,38.0
13,EST,HO,43632,M,1977-05-18,A,38.0
14,EST,HO,43834,M,1977-04-20,A,38.0
15,EST,HO,44440,F,1975-12-31,A,40.0
16,EST,HO,45450,M,1977-11-18,A,38.0
17,EST,HO,47773,M,1977-11-18,A,38.0
18,EST,HO,51914,F,1983-01-01,A,33.0
19,EST,HO,52621,F,1983-01-20,A,32.0
20,EST,HO,56560,F,1983-01-01,A,33.0
21,EST,HO,59691,F,1980-09-29,A,35.0
22,EST,HO,61408,F,1981-02-27,A,34.0
23,EST,HO,62317,M,1981-07-21,A,34.0
24,EST,HO,63428,F,1988-04-27,A,27.0
25,EST,HO,63529,F,1983-04-27,A,32.0
26,EST,HO,64236,F,1979-01-01,A,37.0
27,EST,HO,64741,M,1988-12-01,A,27.0
28,EST,HO,65751,F,1983-12-01,A,32.0
29,EST,HO,66559,F,1983-12-01,A,32.0
30,EST,HO,67064,F,1984-02-28,A,31.0
31,EST,HO,67468,M,1979-04-09,A,36.0
32,EST,HO,68175,F,1982-07-01,A,33.0
33,EST,HO,68680,M,1984-11-20,A,31.0
34,EST,HO,68882,M,1987-08-26,A,28.0
35,EST,HO,69791,M,1984-11-20,A,31.0
36,EST,HO,70094,M,1972-07-01,A,43.0
37,EST,HO,70195,M,1987-06-30,A,28.0
38,EST,HO,70397,M,1984-11-20,A,31.0
39,EST,HO,71003,M,1987-08-27,A,28.0
40,EST,HO,71104,M,1984-11-20,A,31.0
41,EST,HO,71306,M,,,
42,EST,HO,72316,M,1987-08-26,A,28.0
43,EST,HO,73023,M,1988-06-13,A,27.0
44,EST,HO,73124,M,1987-06-14,A,28.0
45,EST,HO,73831,M,1973-05-01,A,42.0
46,EST,HO,74033,M,1978-09-12,A,37.0
47,EST,HO,74336,M,1987-08-26,A,28.0
48,EST,HO,74639,M,1987-05-30,A,28.0
49,EST,HO,74740,M,1991-11-01,A,24.0
50,EST,HO,75043,F,1987-06-15,A,28.0
51,EST,HO,75346,M,1991-11-01,A,24.0
52,EST,HO,75851,F,1987-10-16,A,28.0
53,EST,HO,76558,F,1988-02-15,A,27.0
54,EST,HO,76659,M,1988-02-15,A,27.0
55,EST,HO,77669,M,1988-03-24,A,27.0
56,EST,HO,77871,M,1989-03-24,A,26.0
57,EST,HO,78275,M,1991-11-01,A,24.0
58,EST,HO,78477,M,1988-12-01,A,27.0
59,EST,HO,78982,F,1988-02-03,A,27.0
60,EST,HO,79790,F,1988-07-29,A,27.0
61,EST,HO,81608,M,1988-12-27,A,27.0
62,EST,HO,81810,M,1988-12-27,A,27.0
63,EST,HO,82315,M,1988-12-07,A,27.0
64,EST,HO,82416,M,1989-05-12,A,26.0
65,EST,HO,84739,F,1989-09-01,A,26.0
66,EST,HO,85143,M,1984-09-20,A,31.0
67,EST,HO,85244,F,,A,
68,EST,HO,86658,F,1990-02-13,A,25.0
69,EST,HO,86860,F,1971-04-21,A,44.0
70,EST,HO,87971,F,1984-02-01,A,31.0
71,EST,HO,88779,F,1977-03-30,A,38.0
72,EST,HO,89385,F,1984-11-03,A,31.0
73,EST,HO,89688,F,1992-01-05,A,24.0
74,EST,HO,89890,F,1990-01-01,A,26.0
75,EST,HO,90294,F,1990-05-02,A,25.0
76,EST,HO,90395,F,1990-01-01,A,26.0
77,EST,HO,90597,F,1979-05-19,A,36.0
78,EST,HO,90698,F,1984-09-12,A,31.0
79,EST,HO,91001,F,1995-03-29,A,20.0
80,EST,HO,91809,F,1983-11-23,A,32.0
81,EST,HO,92213,F,1997-11-18,A,18.0
82,EST,HO,92516,F,1998-09-01,A,17.0
83,EST,HO,92617,F,1998-11-18,A,17.0
84,EST,HO,92920,F,1998-09-01,A,17.0
85,EST,HO,93021,F,1998-09-01,A,17.0
86,EST,HO,93627,F,1999-07-27,A,16.0
87,EST,HO,94031,M,2002-05-01,A,13.0
88,EST,HO,94132,M,2000-05-01,A,15.0
89,EST,HO,94435,M,2000-05-01,A,15.0
90,EST,HO,94839,M,2000-05-01,A,15.0
91,EST,HO,94940,M,2000-04-01,A,15.0
92,EST,HO,95243,M,2000-05-01,A,15.0
93,EST,HO,96152,M,2000-05-01,A,15.0
94,EST,HO,96556,M,2000-04-01,A,15.0
95,EST,HO,97162,F,2000-05-01,A,15.0
96,EST,HO,97768,F,2000-05-01,A,15.0
97,EST,HO,98172,F,2000-05-01,A,15.0
98,EST,HO,98475,M,2000-05-01,A,15.0
99,EST,HO,98879,M,2000-05-01,A,15.0
100,EST,HO,99384,M,2000-05-01,A,15.0
101,EST,HO,99889,F,2001-06-04,A,14.0
102,EST,HO,103424,M,2001-03-01,A,14.0
103,EST,HO,103525,M,2001-03-01,A,14.0
104,EST,HO,105040,M,2001-03-01,A,14.0
105,EST,HO,105141,M,2001-03-01,A,14.0
106,EST,HO,111807,F,2003-10-13,A,12.0
107,EST,HO,112312,F,2004-02-01,A,11.0
108,EST,HO,113524,F,2005-05-02,A,10.0
109,EST,HO,114130,F,2005-05-02,A,10.0
110,EST,HO,114231,F,2005-05-02,A,10.0
111,EST,HO,114332,F,2005-05-02,A,10.0
112,EST,HO,114534,F,2005-05-02,A,10.0
113,EST,HO,114635,F,2005-05-02,A,10.0
114,EST,HO,114736,F,2005-05-02,A,10.0
115,EST,HO,115039,F,2005-05-02,A,10.0
116,EST,HO,115443,F,2005-05-02,A,10.0
117,EST,HO,115544,F,2005-05-02,A,10.0
118,EST,HO,115847,F,2005-05-02,A,10.0
119,EST,HO,115948,M,2005-05-02,A,10.0
120,EST,HO,707000,M,2002-01-01,A,14.0
121,EST,HO,707101,M,2002-01-01,A,14.0
122,EST,HO,707202,M,2002-02-01,T,13.0
123,EST,HO,3030303,M,,A,
124,EST,HO,3030404,M,,A,
125,EST,HO,101,M,1980-01-01,T,36.0
126,EST,HO,404,M,1986-04-01,A,29.0
127,EST,HO,1616,F,1970-10-16,A,45.0
128,EST,HO,3030,M,1968-12-01,T,47.0
129,EST,HO,3131,F,1985-03-01,T,30.0
130,EST,HO,3737,F,1986-04-15,A,29.0
131,EST,HO,4242,F,1985-11-13,T,30.0
132,EST,HO,4848,M,1986-04-15,T,29.0
133,EST,HO,4949,F,1973-07-06,T,42.0
134,EST,HO,5656,F,1980-02-01,A,35.0
135,EST,HO,6464,F,1980-09-01,T,35.0
136,EST,HO,6565,M,1972-07-14,T,43.0
137,EST,HO,6868,F,1975-11-04,T,40.0
138,EST,HO,7070,F,1970-12-08,T,45.0
139,EST,HO,7474,F,1985-05-30,A,30.0
140,EST,HO,9696,F,1985-02-01,T,30.0
