Index,EmpCode,EState,Division,CropType,Field,Area (Ha),NumberOfTree,Type
1,2727,EST,HO,T,6A,0.8,9302,R
2,11211,EST,HO,T,3A,3.3,48100,R
3,29593,EST,HO,T,19,5.8,30015,R
4,37774,EST,HO,T,4B,2.5,14308,R
5,37875,EST,HO,T,FW1,0.3,4500,C
6,38178,EST,HO,T,FW4,0.5,5855,C
7,38784,EST,HO,T,GPM9,5.0,31505,C
8,40602,EST,HO,T,4C,2.0,26000,R
9,41107,EST,HO,T,4CVP,2.0,26000,R
10,41309,EST,HO,T,7B,1.0,12000,R
11,42622,EST,HO,T,6A,0.8,9302,R
12,42723,EST,HO,T,3A,3.3,48100,R
13,42925,EST,HO,T,19,5.8,30015,R
14,43632,EST,HO,T,4B,2.5,14308,R
15,43834,EST,HO,T,FW1,0.3,4500,C
16,44440,EST,HO,T,FW4,0.5,5855,C
17,45450,EST,HO,T,GPM9,5.0,31505,C
18,46763,EST,HO,T,4C,2.0,26000,R
19,47773,EST,HO,T,4CVP,2.0,26000,R
20,51914,EST,HO,T,7B,1.0,12000,R
21,52621,EST,HO,T,6A,0.8,9302,R
22,56560,EST,HO,T,3A,3.3,48100,R
23,59691,EST,HO,T,19,5.8,30015,R
24,61408,EST,HO,T,4B,2.5,14308,R
25,62317,EST,HO,T,FW1,0.3,4500,C
26,63428,EST,HO,T,FW4,0.5,5855,C
27,63529,EST,HO,T,GPM9,5.0,31505,C
28,64236,EST,HO,T,4C,2.0,26000,R
29,64741,EST,HO,T,4CVP,2.0,26000,R
30,65751,EST,HO,T,7B,1.0,12000,R
31,65852,EST,HO,T,6A,0.8,9302,R
32,66256,EST,HO,T,3A,3.3,48100,R
33,66559,EST,HO,T,19,5.8,30015,R
34,67064,EST,HO,T,4B,2.5,14308,R
35,67468,EST,HO,T,FW1,0.3,4500,C
36,68175,EST,HO,T,FW4,0.5,5855,C
37,68579,EST,HO,T,GPM9,5.0,31505,C
38,68680,EST,HO,T,4C,2.0,26000,R
39,68882,EST,HO,T,4CVP,2.0,26000,R
40,69589,EST,HO,T,7B,1.0,12000,R
41,69791,EST,HO,T,6A,0.8,9302,R
42,69993,EST,HO,T,3A,3.3,48100,R
43,70094,EST,HO,T,19,5.8,30015,R
44,70195,EST,HO,T,4B,2.5,14308,R
45,70397,EST,HO,T,FW1,0.3,4500,C
46,71003,EST,HO,T,FW4,0.5,5855,C
47,71104,EST,HO,T,GPM9,5.0,31505,C
48,71205,EST,HO,T,4C,2.0,26000,R
49,71306,EST,HO,T,4CVP,2.0,26000,R
50,71710,EST,HO,T,7B,1.0,12000,R
51,72316,EST,HO,T,6A,0.8,9302,R
52,72821,EST,HO,T,3A,3.3,48100,R
53,72922,EST,HO,T,19,5.8,30015,R
54,73023,EST,HO,T,4B,2.5,14308,R
55,73124,EST,HO,T,FW1,0.3,4500,C
56,73831,EST,HO,T,FW4,0.5,5855,C
57,74033,EST,HO,T,GPM9,5.0,31505,C
58,74336,EST,HO,T,4C,2.0,26000,R
59,74639,EST,HO,T,4CVP,2.0,26000,R
60,74740,EST,HO,T,7B,1.0,12000,R
61,75043,EST,HO,T,6A,0.8,9302,R
62,75346,EST,HO,T,3A,3.3,48100,R
63,75851,EST,HO,T,19,5.8,30015,R
64,76558,EST,HO,T,4B,2.5,14308,R
65,76659,EST,HO,T,FW1,0.3,4500,C
66,77669,EST,HO,T,FW4,0.5,5855,C
67,77871,EST,HO,T,GPM9,5.0,31505,C
68,78275,EST,HO,T,4C,2.0,26000,R
69,78477,EST,HO,T,4CVP,2.0,26000,R
70,78982,EST,HO,T,7B,1.0,12000,R
71,79487,EST,HO,T,6A,0.8,9302,R
72,79790,EST,HO,T,3A,3.3,48100,R
73,81608,EST,HO,T,19,5.8,30015,R
74,81709,EST,HO,T,4B,2.5,14308,R
75,81810,EST,HO,T,FW1,0.3,4500,C
76,82315,EST,HO,T,FW4,0.5,5855,C
77,82416,EST,HO,T,GPM9,5.0,31505,C
78,84032,EST,HO,T,4C,2.0,26000,R
79,84739,EST,HO,T,4CVP,2.0,26000,R
80,85143,EST,HO,T,7B,1.0,12000,R
81,85244,EST,HO,T,6A,0.8,9302,R
82,85446,EST,HO,T,3A,3.3,48100,R
83,85951,EST,HO,T,19,5.8,30015,R
84,86658,EST,HO,T,4B,2.5,14308,R
85,86860,EST,HO,T,FW1,0.3,4500,C
86,87971,EST,HO,T,FW4,0.5,5855,C
87,88072,EST,HO,T,GPM9,5.0,31505,C
88,88173,EST,HO,T,4C,2.0,26000,R
89,88779,EST,HO,T,4CVP,2.0,26000,R
90,89284,EST,HO,T,7B,1.0,12000,R
91,89385,EST,HO,T,6A,0.8,9302,R
92,89587,EST,HO,T,3A,3.3,48100,R
93,89688,EST,HO,T,19,5.8,30015,R
94,89890,EST,HO,T,4B,2.5,14308,R
95,90193,EST,HO,T,FW1,0.3,4500,C
96,90294,EST,HO,T,FW4,0.5,5855,C
97,90395,EST,HO,T,GPM9,5.0,31505,C
98,90597,EST,HO,T,4C,2.0,26000,R
99,90698,EST,HO,T,4CVP,2.0,26000,R
100,91001,EST,HO,T,7B,1.0,12000,R
101,91809,EST,HO,T,6A,0.8,9302,R
102,92112,EST,HO,T,3A,3.3,48100,R
103,92213,EST,HO,T,19,5.8,30015,R
104,92314,EST,HO,T,4B,2.5,14308,R
105,92516,EST,HO,T,FW1,0.3,4500,C
106,92617,EST,HO,T,FW4,0.5,5855,C
107,92920,EST,HO,T,GPM9,5.0,31505,C
108,93021,EST,HO,T,4C,2.0,26000,R
109,93425,EST,HO,T,4CVP,2.0,26000,R
110,93627,EST,HO,T,7B,1.0,12000,R
111,93829,EST,HO,T,6A,0.8,9302,R
112,94031,EST,HO,T,3A,3.3,48100,R
113,94132,EST,HO,T,19,5.8,30015,R
114,94435,EST,HO,T,4B,2.5,14308,R
115,94839,EST,HO,T,FW1,0.3,4500,C
116,94940,EST,HO,T,FW4,0.5,5855,C
117,95041,EST,HO,T,GPM9,5.0,31505,C
118,95243,EST,HO,T,4C,2.0,26000,R
119,95647,EST,HO,T,4CVP,2.0,26000,R
120,96152,EST,HO,T,7B,1.0,12000,R
121,96354,EST,HO,T,6A,0.8,9302,R
122,96556,EST,HO,T,3A,3.3,48100,R
123,96859,EST,HO,T,19,5.8,30015,R
124,97162,EST,HO,T,4B,2.5,14308,R
125,97566,EST,HO,T,FW1,0.3,4500,C
126,97768,EST,HO,T,FW4,0.5,5855,C
127,98071,EST,HO,T,GPM9,5.0,31505,C
128,98172,EST,HO,T,6A,0.8,9302,R
129,98273,EST,HO,T,3A,3.3,48100,R
130,98475,EST,HO,T,19,5.8,30015,R
131,98879,EST,HO,T,4B,2.5,14308,R
132,99182,EST,HO,T,FW1,0.3,4500,C
133,99283,EST,HO,T,FW4,0.5,5855,C
134,99384,EST,HO,T,GPM9,5.0,31505,C
135,99586,EST,HO,T,4C,2.0,26000,R
136,99889,EST,HO,T,4CVP,2.0,26000,R
137,99990,EST,HO,T,7B,1.0,12000,R
138,100091,EST,HO,T,4C,2.0,26000,R
139,100192,EST,HO,T,4CVP,2.0,26000,R
140,102818,EST,HO,T,7B,1.0,12000,R
141,103424,EST,HO,T,6A,0.8,9302,R
142,103525,EST,HO,T,3A,3.3,48100,R
143,103626,EST,HO,T,19,5.8,30015,R
144,104838,EST,HO,T,4B,2.5,14308,R
145,104939,EST,HO,T,FW1,0.3,4500,C
146,105040,EST,HO,T,6A,0.8,9302,R
147,105141,EST,HO,T,3A,3.3,48100,R
148,106252,EST,HO,T,19,5.8,30015,R
149,106757,EST,HO,T,4B,2.5,14308,R
150,107161,EST,HO,T,FW1,0.3,4500,C
151,107666,EST,HO,T,FW4,0.5,5855,C
152,108676,EST,HO,T,GPM9,5.0,31505,C
153,109888,EST,HO,T,4C,2.0,26000,R
154,109989,EST,HO,T,4CVP,2.0,26000,R
155,110797,EST,HO,T,7B,1.0,12000,R
156,111100,EST,HO,T,4B,2.5,14308,R
157,111201,EST,HO,T,FW1,0.3,4500,C
158,111504,EST,HO,T,FW4,0.5,5855,C
159,111605,EST,HO,T,GPM9,5.0,31505,C
160,111807,EST,HO,T,4C,2.0,26000,R
161,111908,EST,HO,T,4CVP,2.0,26000,R
162,112110,EST,HO,T,7B,1.0,12000,R
163,112312,EST,HO,T,6A,0.8,9302,R
164,112413,EST,HO,T,3A,3.3,48100,R
165,112514,EST,HO,T,19,5.8,30015,R
166,112615,EST,HO,T,4B,2.5,14308,R
167,112716,EST,HO,T,FW1,0.3,4500,C
168,113120,EST,HO,T,6A,0.8,9302,R
169,113221,EST,HO,T,3A,3.3,48100,R
170,113322,EST,HO,T,19,5.8,30015,R
171,113423,EST,HO,T,4B,2.5,14308,R
172,113524,EST,HO,T,FW1,0.3,4500,C
173,113625,EST,HO,T,FW4,0.5,5855,C
174,113726,EST,HO,T,GPM9,5.0,31505,C
175,113827,EST,HO,T,6A,0.8,9302,R
176,113928,EST,HO,T,3A,3.3,48100,R
177,114029,EST,HO,T,19,5.8,30015,R
178,114130,EST,HO,T,4B,2.5,14308,R
179,114231,EST,HO,T,FW1,0.3,4500,C
180,114332,EST,HO,T,6A,0.8,9302,R
181,114534,EST,HO,T,3A,3.3,48100,R
182,114635,EST,HO,T,19,5.8,30015,R
183,114736,EST,HO,T,4B,2.5,14308,R
184,115039,EST,HO,T,FW1,0.3,4500,C
185,115443,EST,HO,T,FW4,0.5,5855,C
186,115544,EST,HO,T,GPM9,5.0,31505,C
187,115847,EST,HO,T,4C,2.0,26000,R
188,115948,EST,HO,T,4CVP,2.0,26000,R
189,707000,EST,HO,T,7B,1.0,12000,R
190,707101,EST,HO,T,4B,2.5,14308,R
191,707202,EST,HO,T,FW1,0.3,4500,C
192,3030303,EST,HO,T,FW4,0.5,5855,C
193,3030404,EST,HO,T,6A,0.8,9302,R
194,101,EST,HO,T,3A,3.3,48100,R
195,404,EST,HO,T,19,5.8,30015,R
196,1616,EST,HO,T,4B,2.5,14308,R
197,3030,EST,HO,T,FW1,0.3,4500,C
198,3131,EST,HO,T,FW4,0.5,5855,C
199,3737,EST,HO,T,GPM9,5.0,31505,C
200,4242,EST,HO,T,6A,0.8,9302,R
201,4848,EST,HO,T,3A,3.3,48100,R
202,4949,EST,HO,T,19,5.8,30015,R
203,5656,EST,HO,T,4B,2.5,14308,R
204,6464,EST,HO,T,FW1,0.3,4500,C
205,6565,EST,HO,T,FW4,0.5,5855,C
206,6868,EST,HO,T,GPM9,5.0,31505,C
207,7070,EST,HO,T,4C,2.0,26000,R
208,7474,EST,HO,T,6A,0.8,9302,R
209,9696,EST,HO,T,3A,3.3,48100,R
210,9999,EST,HO,T,19,5.8,30015,R
211,10908,EST,HO,T,4B,2.5,14308,R
212,12322,EST,HO,T,FW1,0.3,4500,C
213,13029,EST,HO,T,FW4,0.5,5855,C
214,13534,EST,HO,T,GPM9,5.0,31505,C
215,13635,EST,HO,T,4C,2.0,26000,R
216,13736,EST,HO,T,6A,0.8,9302,R
217,13837,EST,HO,T,3A,3.3,48100,R
218,13938,EST,HO,T,19,5.8,30015,R
219,14241,EST,HO,T,4B,2.5,14308,R
220,579437,EST,HO,T,FW1,0.3,4500,C
221,579538,EST,HO,T,6A,0.8,9302,R
222,808606,EST,HO,T,3A,3.3,48100,R
223,808808,EST,HO,T,19,5.8,30015,R
224,812141,EST,HO,T,4B,2.5,14308,R
225,817898,EST,HO,T,FW1,0.3,4500,C
226,818201,EST,HO,T,FW4,0.5,5855,C
227,818100,EST,HO,T,6A,0.8,9302,R
228,810020,EST,HO,T,3A,3.3,48100,R
229,820928,EST,HO,T,19,5.8,30015,R
230,819716,EST,HO,T,4B,2.5,14308,R
231,818605,EST,HO,T,FW1,0.3,4500,C
