index,Estate,Division,EmpCode,Work,Workdayfraction,Qty,ExtraKilos,DateofWork
21021,EST,UD,520756,LLO,1.0,22.0,5597.0,2014-02-27
21022,EST,UD,521160,PLK,1.0,22.0,5626.0,2012-12-04
21023,EST,UD,520756,LLO,1.0,22.0,5639.0,2013-07-19
21024,EST,LD,519847,PLK,1.5,22.0,5640.0,2015-05-24
21025,EST,UD,520655,PLG,1.0,22.0,5650.0,2014-01-10
21026,EST,UD,520655,PLG,1.0,22.0,5676.0,2012-02-23
21027,EST,UD,520756,LLO,1.0,22.0,5705.0,2014-05-28
21034,EST,UD,521059,PLK,1.0,22.0,6108.0,2013-08-22
21035,EST,LD,519847,PLK,1.0,22.0,6113.0,2015-05-19
21036,EST,UD,521059,PLK,1.5,22.0,6138.0,2012-12-30
21037,EST,UD,521059,PLK,1.0,22.0,6143.0,2012-11-05
21038,EST,UD,521059,PLK,1.0,22.0,6174.0,2012-02-15
21046,EST,UD,520756,LLO,1.5,22.0,6643.0,2014-03-23
21047,EST,UD,521059,PLK,1.0,22.0,6648.0,2013-01-31
21058,EST,UD,521059,PLK,1.0,22.0,7040.0,2013-07-25
21059,EST,LD,519847,PLK,1.0,22.0,7058.0,2015-06-17
21060,EST,UD,521059,PLK,1.0,22.0,7102.0,2012-05-23
21061,EST,UD,521059,PLK,1.0,22.0,7156.0,2014-07-21
21071,EST,UD,520756,LLO,1.0,22.0,7556.0,2013-10-12
21076,EST,UD,521059,PLK,1.0,22.0,7977.0,2012-11-10
21100,EST,UD,521059,PLK,1.0,22.0,8711.0,2014-12-09
43498,EST,UD,521160,PLK,1.0,23.0,5706.0,2012-02-18
43505,EST,UD,521059,PLK,1.0,23.0,6069.0,2013-12-12
43513,EST,UD,521160,PLK,1.0,23.0,6649.0,2013-01-05
43514,EST,UD,521059,PLK,1.0,23.0,6658.0,2015-03-17
43517,EST,UD,521059,PLK,1.0,23.0,7043.0,2015-07-14
43518,EST,UD,521059,ABS,1.0,23.0,7103.0,2012-06-16
43519,EST,UD,521059,PLK,1.5,23.0,7130.0,2014-10-26
43525,EST,UD,521160,PLK,1.0,23.0,7530.0,2013-11-08
