Index,WorCode,Crop,Type
1,CHC,T,R
2,TPR,T,R
3,MUS,T,R
4,WBN,T,R
5,EFD,T,R
6,WOF,T,R
7,WMB,T,R
8,MRB,T,R
9,SAI,T,R
10,SAO,T,R
11,SI1,T,R
12,AO1,T,R
13,AO2,T,R
14,AI2,T,R
15,AI3,T,R
16,AO3,T,R
17,BLQ,T,R
18,MBL,T,R
19,LSW,T,R
20,WAS,T,R
21,MO,T,R
22,WA,T,R
23,DIS,T,R
24,CKP,T,O
25,DIG,T,R
26,FAP,T,R
27,ALE,T,R
28,CRE,T,R
29,WTN,T,R
30,FS,T,R
31,TRN,T,R
32,TC1,T,O
33,TC2,T,O
34,CT3,T,R
35,TC4,T,O
36,TC5,T,O
37,TC6,T,O
38,FBR,T,R
39,DRS,T,C
40,TEC,T,R
41,FPB,T,R
42,WDM,T,R
43,WDC,T,R
44,CHM,T,C
45,CHO,T,C
46,FTL,T,R
47,FGR,T,R
48,FFL,T,R
49,FDL,T,R
50,FCM,T,R
51,FRK,T,R
52,GMS,T,R
53,GLP,T,R
54,PD,T,R
55,TLS,T,R
56,BB,T,R
57,PR,T,R
58,PCH,T,R
59,PRL,T,R
60,PMS,T,R
61,MF,T,R
62,HYL,T,R
63,ICU,T,R
64,ILP,T,R
65,ITH,T,R
66,IHF,T,R
67,IPT,T,R
68,IPA,T,R
69,IWD,T,R
70,IEP,T,R
71,ICC,T,R
72,IV1,T,R
73,IT1,T,R
74,IG1,T,R
75,IW1,T,R
76,IF1,T,R
77,IC1,T,R
78,IA1,T,R
79,IV2,T,R
80,IT2,T,R
81,IG2,T,R
82,IW2,T,R
83,IF2,T,R
84,IP2,T,R
85,IV3,T,R
86,IT3,T,R
87,IG3,T,R
88,IW3,T,R
89,IF3,T,R
90,IP3,T,R
91,PLK,T,R
92,PLI,T,R
93,PLH,T,R
94,TPP,T,R
95,PLS,T,C
96,PLG,T,R
97,SAC,T,R
98,PEN,T,R
99,MHY,T,R
100,DRY,T,R
101,FEW,T,R
102,FRL,T,R
103,FDR,T,R
104,FSI,T,R
105,FRP,T,R
106,FUK,T,R
107,FMU,T,R
108,FME,T,R
109,FSU,T,R
110,FWT,T,R
111,FWS,T,R
112,PCK,T,R
113,PTR,T,R
114,PWO,T,R
115,FLE,T,C
116,DRA,T,R
117,RPA,T,C
118,PGR,T,R
119,PSW,T,R
120,TER,T,R
