EState,Division,CropType,Field,Area (Ha),NumberOfTree,Type,NumberOfEmp
EST,HO,T,6A,0.8,9302,R,66
EST,HO,T,3A,3.3,48100,R,62
EST,HO,T,19,5.8,30015,R,64
EST,HO,T,4B,2.5,14308,R,66
EST,HO,T,FW1,0.3,4500,C,57
EST,HO,T,FW4,0.5,5855,C,48
EST,HO,T,GPM9,5.0,31505,C,37
EST,HO,T,4C,2.0,26000,R,31
EST,HO,T,4CVP,2.0,26000,R,17
EST,HO,T,7B,1.0,12000,R,17
EST,HO,T,FW1,0.3,4500,R,9
EST,HO,T,3A,3.3,48100,C,4
EST,HO,T,FW4,0.5,5855,R,3
EST,HO,T,6A,0.8,9302,C,3
EST,HO,T,4B,2.5,14308,C,3
EST,LD,T,9A,0.3,2961,R,22
EST,LD,T,5A,0.5,5855,R,21
EST,LD,T,FW3,1.5,19425,C,21
EST,LD,T,C4DM,0.8,0,C,21
EST,LD,T,C4GM,0.5,6200,C,21
EST,LD,T,9B,6.5,50876,R,21
EST,LD,T,GBMD,0.8,9302,C,17
EST,LD,T,4K,2.0,27000,R,16
EST,LD,T,4I,2.0,26000,R,16
EST,LD,T,4M,1.0,18000,R,16
EST,LD,T,7,7.0,25417,R,4
EST,LD,T,4A,3.0,17631,R,4
EST,LD,T,FAC,0.8,9653,R,4
EST,LD,T,C4AV,2.0,26000,C,4
EST,LD,T,C4CV,1.5,19425,C,4
EST,LD,T,7BVP,1.0,13500,C,4
EST,LD,T,C4EV,1.0,13500,C,4
EST,LD,T,C4EM,1.5,19425,C,4
EST,LD,T,C4FM,0.8,12500,C,4
EST,LD,T,CMDG,2.0,26000,C,4
EST,LD,T,COTH,0.8,9302,C,3
EST,LD,T,C4KV,2.0,27000,C,2
EST,MD,T,GM10,1.5,19425,C,42
EST,MD,T,GM11,2.0,26000,C,42
EST,MD,T,GM12,3.0,26000,C,40
EST,MD,T,7,7.0,25417,R,7
EST,MD,T,4A,3.0,17631,R,7
EST,MD,T,FAC,0.8,9653,R,7
EST,MD,T,C4AV,2.0,26000,C,7
EST,MD,T,C4CV,1.5,19425,C,7
EST,MD,T,7BVP,1.0,13500,C,7
EST,MD,T,C4EV,1.0,13500,C,7
EST,MD,T,C4EM,1.5,19425,C,8
EST,MD,T,C4FM,0.8,12500,C,27
EST,MD,T,CMDG,2.0,26000,C,37
EST,MD,T,COTH,0.8,9302,C,36
EST,MD,T,C4KV,2.0,27000,C,36
EST,MD,T,4E,0.5,6500,R,38
EST,MD,T,C4,0.8,9302,C,18
EST,ST,T,8,2.0,23225,R,23
EST,ST,T,FW2,0.8,9257,C,22
EST,ST,T,5B,1.0,3882,R,23
EST,ST,T,C4CM,1.0,4500,C,21
EST,ST,T,C4HM,3.0,29000,C,19
EST,ST,T,8A,1.5,19425,R,22
EST,ST,T,C4JM,1.0,18000,C,12
EST,ST,T,4AVP,1.8,24000,R,20
EST,ST,T,C4IV,3.0,40500,C,19
EST,ST,T,C4FV,0.8,13500,C,10
EST,ST,T,11,8.0,54000,R,11
EST,ST,T,C4LV,2.0,27000,C,10
EST,ST,T,C7BV,1.0,13500,C,19
EST,ST,T,4AV,1.8,21000,R,9
EST,ST,T,131,1.0,13500,R,9
EST,UD,T,9,6.3,48919,R,70
EST,UD,T,6B,0.8,9257,R,69
EST,UD,T,GEN,3.0,17631,R,74
EST,UD,T,OTH,0.8,9257,O,55
EST,UD,T,8B,0.3,2993,R,38
EST,UD,T,7A,0.8,9653,R,60
EST,UD,T,5,5.0,31505,R,70
EST,UD,V,VHR,0.5,5855,O,35
EST,UD,B,STL,5.0,31505,R,34
