WorCode,Crop,Type
CHC,T,R
TPR,T,R
MUS,T,R
WBN,T,R
EFD,T,R
WOF,T,R
WMB,T,R
MRB,T,R
SAI,T,R
SAO,T,R
SI1,T,R
AO1,T,R
AO2,T,R
AI2,T,R
AI3,T,R
AO3,T,R
BLQ,T,R
MBL,T,R
LSW,T,R
WAS,T,R
MO,T,R
WA,T,R
DIS,T,R
CKP,T,O
DIG,T,R
FAP,T,R
ALE,T,R
CRE,T,R
WTN,T,R
FS,T,R
TRN,T,R
TC1,T,O
TC2,T,O
CT3,T,R
TC4,T,O
TC5,T,O
TC6,T,O
FBR,T,R
DRS,T,C
TEC,T,R
FPB,T,R
WDM,T,R
WDC,T,R
CHM,T,C
CHO,T,C
FTL,T,R
FGR,T,R
FFL,T,R
FDL,T,R
FCM,T,R
FRK,T,R
GMS,T,R
GLP,T,R
PD,T,R
TLS,T,R
BB,T,R
PR,T,R
PCH,T,R
PRL,T,R
PMS,T,R
MF,T,R
HYL,T,R
ICU,T,R
ILP,T,R
ITH,T,R
IHF,T,R
IPT,T,R
IPA,T,R
IWD,T,R
IEP,T,R
ICC,T,R
IV1,T,R
IT1,T,R
IG1,T,R
IW1,T,R
IF1,T,R
IC1,T,R
IA1,T,R
IV2,T,R
IT2,T,R
IG2,T,R
IW2,T,R
IF2,T,R
IP2,T,R
IV3,T,R
IT3,T,R
IG3,T,R
IW3,T,R
IF3,T,R
IP3,T,R
PLK,T,R
PLI,T,R
PLH,T,R
TPP,T,R
PLS,T,C
PLG,T,R
SAC,T,R
PEN,T,R
MHY,T,R
DRY,T,R
FEW,T,R
FRL,T,R
FDR,T,R
FSI,T,R
FRP,T,R
FUK,T,R
FMU,T,R
FME,T,R
FSU,T,R
FWT,T,R
FWS,T,R
PCK,T,R
PTR,T,R
PWO,T,R
FLE,T,C
DRA,T,R
RPA,T,C
PGR,T,R
PSW,T,R
TER,T,R
DOL,T,R
LG1,T,C
GM1,T,R
WD1,T,R
CE1,T,C
RA1,T,C
PD1,T,R
WD2,T,R
RP2,T,R
LG2,T,R
FG2,T,R
TR2,T,R
LW2,T,R
RA2,T,R
CE2,T,R
LGR,T,R
UGR,T,R
LPG,T,R
HFL,T,R
TPL,T,R
SUV,T,R
PPR,T,R
THA,T,R
CLD,T,R
ROP,T,R
TRC,T,R
SHW,T,C
WED,T,R
FET,T,R
RAB,T,R
BBL,T,R
ETC,T,R
DR1,T,R
RO1,T,R
TH1,T,C
SW1,T,R
SU1,T,R
WE1,T,C
FE1,T,C
CC1,T,R
BB1,T,O
RB1,T,R
DR2,T,R
RO2,T,R
TH2,T,R
SW2,T,R
SU2,T,R
WE2,T,R
FE2,T,R
CT2,T,R
BB2,T,R
CO2,T,R
TE2,T,C
RB2,T,R
SU3,T,R
DR3,T,R
RO3,T,R
